uid	sex	bdate	city	langs
52502455	male	23.8	Новосибирск	
155661455	female		Петровск-Забайкальский	
51920487	female	30.10.1999	Забайкальск	
51595472	male		Красноярск	
51493617	male	16.6.1998	Забайкальск	
45984345	female		Альметьевск	
45824180	male	7.8	Петровск-Забайкальский	
44734759	male	21.1.1992	Озерск	
44609868	female	17.2	Красноярск	
44506667	male	12.12.1988	Петровск-Забайкальский	
43700460	male	5.7	Чита	
196318460	male	16.12.1996	Забайкальск	
43476001	female	30.8.1990	Забайкальск	
42574414	female	12.3.1994	Великий Новгород	
41896113	female	27.12.1991	Забайкальск	
39445299	female	20.3	Калининград	
38544625	female	25.7.1989	Улан-Удэ	
37916326	female	5.8	Балей	
37882168	female	29.10.1993	Улан-Удэ	
35919396	female	2.9.1984	Новополоцк	
33591724	male	3.10	Чита	
33406978	female	17.8	Забайкальск	
31220312	female	7.8	Архангельск	
30354083	male	19.11.1995	Петровск-Забайкальский	
116755083	male	2.4	Забайкальск	
30254834	female	25.3	Забайкальск	
29197880	female	30.11.1986	Забайкальск	
29101522	female	2.1	Забайкальск	
26545346	female	21.11.1993	Забайкальск	
25719240	female	11.3	Томск	
24166385	male	7.1	Томск	
24081721	female	27.4.1990	Иркутск	
22069502	female	2.11.1988	Прокопьевск	
21820866	female	13.6.1992	Новосибирск	
21072060	female	19.5	Улан-Удэ	
20006950	female	20.9.1993	Екатеринбург	
19087583	female	5.2.1986	Улан-Удэ	
18295032	female	3.4.1985	Запорожье	
16322141	female		Челябинск	
15839682	male	11.12.1989	Новосибирск	
15754023	male	12.3.1991	Забайкальск	
13732721	female	23.3.1988	Иркутск	
13658986	female	29.12	Москва	
13550205	male	1.9.1990	Москва	
12708763	female	4.10	Чита	
11590356	female	20.5	Иркутск	
75304356	male	6.5.1993	Чита	
10007709	female	25.3	Улан-Удэ	
9417798	female	5.1.1989	Томск	
8769773	male	4.4	Шымкент	
7616708	female	31.12.1985	Снежинск	
6436965	male		Москва	
5926192	female	24.4.1984	Новосибирск	
5761161	female	12.4.1901	Чита	
4665420	male	16.3.1992	Забайкальск	
3879982	female		Томск	
3793682	male	30.6	Новосибирск	
3737698	male	24.2.1987	Саранск	
278993227	female	4.3.2001	Erdenet	
2174068	male	11.12.1986	Новосибирск	Русский,Deutsch,English
1716518	male	16.2.1989	Тюмень	
1501738	female	9.8	Санкт-Петербург	
562764	female	12.10.1986	Санкт-Петербург	
166261822	female	25.12	Саратов	
87348979	female	13.10	Краснокаменск	
45637164	female	31.12	Иркутск	
368408249	female	27.8	Петровск-Забайкальский	
365772097	female	18.12.1997	Чита	
365770553	female	20.9	Краснокаменск	
